utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260404T115005Z,cgse_phase3_cifar_kd_seed43,25,0.518294,0.842500,0.496298,0.834600,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,26,0.517610,0.843320,0.523432,0.821000,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,27,0.511887,0.843560,0.502696,0.835200,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,28,0.502755,0.844960,0.504706,0.827400,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,29,0.500057,0.846900,0.532259,0.825000,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,30,0.498626,0.846220,0.489737,0.836700,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,31,0.496392,0.846080,0.494542,0.833000,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,32,0.487444,0.848480,0.495295,0.829300,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,33,0.481290,0.848980,0.511200,0.832300,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,34,0.479661,0.850220,0.488249,0.834400,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,35,0.477580,0.850540,0.470113,0.840800,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,36,0.480868,0.850720,0.506225,0.828000,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,37,0.470953,0.852040,0.504206,0.833300,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,38,0.469460,0.850780,0.470450,0.840800,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,39,0.462946,0.856120,0.486531,0.837500,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,40,0.463748,0.852680,0.487800,0.836400,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,41,0.464614,0.852120,0.491973,0.833900,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,42,0.458127,0.853600,0.483021,0.837600,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,43,0.454786,0.854520,0.468909,0.847900,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,44,0.447461,0.855800,0.508716,0.827700,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,45,0.450094,0.856020,0.493219,0.834400,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,46,0.448382,0.854900,0.464137,0.842400,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,47,0.441000,0.858240,0.520728,0.829400,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,48,0.442476,0.856700,0.472092,0.839400,620810,False,
20260404T115005Z,cgse_phase3_cifar_kd_seed43,49,0.438956,0.855200,0.480103,0.841400,620810,False,
