[repro] Using --seed 43; experiment_name=cgse_evolution_tier1b_schedule_seed43
Epoch 000 (stage 0) | train_loss 1.4555 | train_acc 0.4672 | val_loss 1.1411 | val_acc 0.5964
Epoch 001 (stage 0) | train_loss 1.0611 | train_acc 0.6210 | val_loss 0.9647 | val_acc 0.6634
Epoch 002 (stage 0) | train_loss 0.9161 | train_acc 0.6767 | val_loss 0.8100 | val_acc 0.7146
Epoch 003 (stage 0) | train_loss 0.8382 | train_acc 0.7019 | val_loss 0.8434 | val_acc 0.7026
Epoch 004 (stage 0) | train_loss 0.7811 | train_acc 0.7253 | val_loss 0.7433 | val_acc 0.7414
Epoch 005 (stage 0) | train_loss 0.7360 | train_acc 0.7405 | val_loss 0.7546 | val_acc 0.7314
Epoch 006 (stage 0) | train_loss 0.7032 | train_acc 0.7515 | val_loss 0.6765 | val_acc 0.7672
Epoch 007 (stage 0) | train_loss 0.6829 | train_acc 0.7614 | val_loss 0.7161 | val_acc 0.7536
Epoch 008 (stage 0) | train_loss 0.6551 | train_acc 0.7706 | val_loss 0.6344 | val_acc 0.7789
Epoch 009 (stage 0) | train_loss 0.6265 | train_acc 0.7819 | val_loss 0.6124 | val_acc 0.7850
[evolution] (evolution_schedule) widen_conv3 @ global_epoch 9; params 620810 -> 770410
Epoch 010 (stage 1) | train_loss 0.6338 | train_acc 0.7783 | val_loss 0.6170 | val_acc 0.7874
Epoch 011 (stage 1) | train_loss 0.5988 | train_acc 0.7912 | val_loss 0.6456 | val_acc 0.7800
Epoch 012 (stage 1) | train_loss 0.5839 | train_acc 0.7955 | val_loss 0.7538 | val_acc 0.7432
Epoch 013 (stage 1) | train_loss 0.5677 | train_acc 0.8024 | val_loss 0.6027 | val_acc 0.7929
Epoch 014 (stage 1) | train_loss 0.5539 | train_acc 0.8065 | val_loss 0.6128 | val_acc 0.7937
Epoch 015 (stage 1) | train_loss 0.5418 | train_acc 0.8109 | val_loss 0.5509 | val_acc 0.8104
Epoch 016 (stage 1) | train_loss 0.5414 | train_acc 0.8113 | val_loss 0.6259 | val_acc 0.7863
Epoch 017 (stage 1) | train_loss 0.5281 | train_acc 0.8142 | val_loss 0.5211 | val_acc 0.8217
Epoch 018 (stage 1) | train_loss 0.5150 | train_acc 0.8196 | val_loss 0.5475 | val_acc 0.8152
Epoch 019 (stage 1) | train_loss 0.5113 | train_acc 0.8216 | val_loss 0.5775 | val_acc 0.8040
[evolution] (evolution_schedule) widen_fc1 @ global_epoch 19; params 770410 -> 852682
Epoch 020 (stage 2) | train_loss 0.5062 | train_acc 0.8235 | val_loss 0.5426 | val_acc 0.8150
Epoch 021 (stage 2) | train_loss 0.4937 | train_acc 0.8275 | val_loss 0.5888 | val_acc 0.8027
Epoch 022 (stage 2) | train_loss 0.4939 | train_acc 0.8298 | val_loss 0.5121 | val_acc 0.8256
Epoch 023 (stage 2) | train_loss 0.4848 | train_acc 0.8301 | val_loss 0.5305 | val_acc 0.8203
Epoch 024 (stage 2) | train_loss 0.4786 | train_acc 0.8342 | val_loss 0.5190 | val_acc 0.8229
Epoch 025 (stage 2) | train_loss 0.4729 | train_acc 0.8345 | val_loss 0.5973 | val_acc 0.7980
Epoch 026 (stage 2) | train_loss 0.4674 | train_acc 0.8366 | val_loss 0.4816 | val_acc 0.8374
Epoch 027 (stage 2) | train_loss 0.4625 | train_acc 0.8381 | val_loss 0.5207 | val_acc 0.8212
Epoch 028 (stage 2) | train_loss 0.4576 | train_acc 0.8414 | val_loss 0.4865 | val_acc 0.8333
Epoch 029 (stage 2) | train_loss 0.4536 | train_acc 0.8412 | val_loss 0.5370 | val_acc 0.8172
[evolution] (evolution_schedule) split_before_fc2 @ global_epoch 29; params 852682 -> 935914
Epoch 030 (stage 3) | train_loss 0.4590 | train_acc 0.8391 | val_loss 0.5483 | val_acc 0.8074
Epoch 031 (stage 3) | train_loss 0.4487 | train_acc 0.8446 | val_loss 0.5370 | val_acc 0.8195
Epoch 032 (stage 3) | train_loss 0.4478 | train_acc 0.8455 | val_loss 0.5382 | val_acc 0.8170
Epoch 033 (stage 3) | train_loss 0.4464 | train_acc 0.8426 | val_loss 0.4966 | val_acc 0.8324
Epoch 034 (stage 3) | train_loss 0.4384 | train_acc 0.8459 | val_loss 0.4923 | val_acc 0.8320
Epoch 035 (stage 3) | train_loss 0.4315 | train_acc 0.8494 | val_loss 0.5347 | val_acc 0.8229
Epoch 036 (stage 3) | train_loss 0.4231 | train_acc 0.8536 | val_loss 0.5052 | val_acc 0.8323
