[repro] Using --seed 43; experiment_name=cgse_phase3_cifar_kd_seed43
[teacher] Loaded frozen teacher from checkpoints/cgse_phase2_cifar_full.pt (KD training).
Epoch 000 | train_loss 2.7262 | train_acc 0.5130 | val_loss 1.1892 | val_acc 0.6161 | kd T=4.0 α=0.5
Epoch 001 | train_loss 1.5218 | train_acc 0.6646 | val_loss 0.8553 | val_acc 0.7197 | kd T=4.0 α=0.5
Epoch 002 | train_loss 1.1866 | train_acc 0.7150 | val_loss 0.7902 | val_acc 0.7409 | kd T=4.0 α=0.5
Epoch 003 | train_loss 1.0185 | train_acc 0.7423 | val_loss 0.7914 | val_acc 0.7429 | kd T=4.0 α=0.5
Epoch 004 | train_loss 0.9193 | train_acc 0.7580 | val_loss 0.7219 | val_acc 0.7609 | kd T=4.0 α=0.5
Epoch 005 | train_loss 0.8365 | train_acc 0.7728 | val_loss 0.6668 | val_acc 0.7819 | kd T=4.0 α=0.5
Epoch 006 | train_loss 0.7923 | train_acc 0.7801 | val_loss 0.6290 | val_acc 0.7930 | kd T=4.0 α=0.5
Epoch 007 | train_loss 0.7487 | train_acc 0.7899 | val_loss 0.5917 | val_acc 0.8053 | kd T=4.0 α=0.5
Epoch 008 | train_loss 0.7211 | train_acc 0.7968 | val_loss 0.5890 | val_acc 0.7998 | kd T=4.0 α=0.5
Epoch 009 | train_loss 0.6848 | train_acc 0.8040 | val_loss 0.5915 | val_acc 0.8040 | kd T=4.0 α=0.5
Epoch 010 | train_loss 0.6630 | train_acc 0.8083 | val_loss 0.6020 | val_acc 0.7985 | kd T=4.0 α=0.5
Epoch 011 | train_loss 0.6432 | train_acc 0.8127 | val_loss 0.6009 | val_acc 0.8063 | kd T=4.0 α=0.5
Epoch 012 | train_loss 0.6323 | train_acc 0.8174 | val_loss 0.5867 | val_acc 0.8067 | kd T=4.0 α=0.5
Epoch 013 | train_loss 0.6177 | train_acc 0.8195 | val_loss 0.5307 | val_acc 0.8208 | kd T=4.0 α=0.5
Epoch 014 | train_loss 0.6057 | train_acc 0.8228 | val_loss 0.5534 | val_acc 0.8182 | kd T=4.0 α=0.5
Epoch 015 | train_loss 0.5878 | train_acc 0.8257 | val_loss 0.5548 | val_acc 0.8149 | kd T=4.0 α=0.5
Epoch 016 | train_loss 0.5822 | train_acc 0.8274 | val_loss 0.5207 | val_acc 0.8263 | kd T=4.0 α=0.5
Epoch 017 | train_loss 0.5739 | train_acc 0.8314 | val_loss 0.5970 | val_acc 0.8022 | kd T=4.0 α=0.5
Epoch 018 | train_loss 0.5694 | train_acc 0.8284 | val_loss 0.5308 | val_acc 0.8231 | kd T=4.0 α=0.5
Epoch 019 | train_loss 0.5590 | train_acc 0.8337 | val_loss 0.5352 | val_acc 0.8216 | kd T=4.0 α=0.5
Epoch 020 | train_loss 0.5464 | train_acc 0.8367 | val_loss 0.5211 | val_acc 0.8256 | kd T=4.0 α=0.5
Epoch 021 | train_loss 0.5518 | train_acc 0.8333 | val_loss 0.5360 | val_acc 0.8227 | kd T=4.0 α=0.5
Epoch 022 | train_loss 0.5344 | train_acc 0.8387 | val_loss 0.5194 | val_acc 0.8231 | kd T=4.0 α=0.5
Epoch 023 | train_loss 0.5328 | train_acc 0.8375 | val_loss 0.5324 | val_acc 0.8188 | kd T=4.0 α=0.5
Epoch 024 | train_loss 0.5250 | train_acc 0.8401 | val_loss 0.4953 | val_acc 0.8348 | kd T=4.0 α=0.5
Epoch 025 | train_loss 0.5183 | train_acc 0.8425 | val_loss 0.4963 | val_acc 0.8346 | kd T=4.0 α=0.5
Epoch 026 | train_loss 0.5176 | train_acc 0.8433 | val_loss 0.5234 | val_acc 0.8210 | kd T=4.0 α=0.5
Epoch 027 | train_loss 0.5119 | train_acc 0.8436 | val_loss 0.5027 | val_acc 0.8352 | kd T=4.0 α=0.5
Epoch 028 | train_loss 0.5028 | train_acc 0.8450 | val_loss 0.5047 | val_acc 0.8274 | kd T=4.0 α=0.5
Epoch 029 | train_loss 0.5001 | train_acc 0.8469 | val_loss 0.5323 | val_acc 0.8250 | kd T=4.0 α=0.5
Epoch 030 | train_loss 0.4986 | train_acc 0.8462 | val_loss 0.4897 | val_acc 0.8367 | kd T=4.0 α=0.5
Epoch 031 | train_loss 0.4964 | train_acc 0.8461 | val_loss 0.4945 | val_acc 0.8330 | kd T=4.0 α=0.5
Epoch 032 | train_loss 0.4874 | train_acc 0.8485 | val_loss 0.4953 | val_acc 0.8293 | kd T=4.0 α=0.5
Epoch 033 | train_loss 0.4813 | train_acc 0.8490 | val_loss 0.5112 | val_acc 0.8323 | kd T=4.0 α=0.5
Epoch 034 | train_loss 0.4797 | train_acc 0.8502 | val_loss 0.4882 | val_acc 0.8344 | kd T=4.0 α=0.5
Epoch 035 | train_loss 0.4776 | train_acc 0.8505 | val_loss 0.4701 | val_acc 0.8408 | kd T=4.0 α=0.5
Epoch 036 | train_loss 0.4809 | train_acc 0.8507 | val_loss 0.5062 | val_acc 0.8280 | kd T=4.0 α=0.5
Epoch 037 | train_loss 0.4710 | train_acc 0.8520 | val_loss 0.5042 | val_acc 0.8333 | kd T=4.0 α=0.5
Epoch 038 | train_loss 0.4695 | train_acc 0.8508 | val_loss 0.4704 | val_acc 0.8408 | kd T=4.0 α=0.5
Epoch 039 | train_loss 0.4629 | train_acc 0.8561 | val_loss 0.4865 | val_acc 0.8375 | kd T=4.0 α=0.5
Epoch 040 | train_loss 0.4637 | train_acc 0.8527 | val_loss 0.4878 | val_acc 0.8364 | kd T=4.0 α=0.5
Epoch 041 | train_loss 0.4646 | train_acc 0.8521 | val_loss 0.4920 | val_acc 0.8339 | kd T=4.0 α=0.5
Epoch 042 | train_loss 0.4581 | train_acc 0.8536 | val_loss 0.4830 | val_acc 0.8376 | kd T=4.0 α=0.5
Epoch 043 | train_loss 0.4548 | train_acc 0.8545 | val_loss 0.4689 | val_acc 0.8479 | kd T=4.0 α=0.5
Epoch 044 | train_loss 0.4475 | train_acc 0.8558 | val_loss 0.5087 | val_acc 0.8277 | kd T=4.0 α=0.5
Epoch 045 | train_loss 0.4501 | train_acc 0.8560 | val_loss 0.4932 | val_acc 0.8344 | kd T=4.0 α=0.5
Epoch 046 | train_loss 0.4484 | train_acc 0.8549 | val_loss 0.4641 | val_acc 0.8424 | kd T=4.0 α=0.5
Epoch 047 | train_loss 0.4410 | train_acc 0.8582 | val_loss 0.5207 | val_acc 0.8294 | kd T=4.0 α=0.5
Epoch 048 | train_loss 0.4425 | train_acc 0.8567 | val_loss 0.4721 | val_acc 0.8394 | kd T=4.0 α=0.5
Epoch 049 | train_loss 0.4390 | train_acc 0.8552 | val_loss 0.4801 | val_acc 0.8414 | kd T=4.0 α=0.5
Saved checkpoint to checkpoints/cgse_phase3_cifar_kd_seed43.pt
