[repro] Using --seed 41; experiment_name=cgse_phase3_cifar_kd_seed41
[teacher] Loaded frozen teacher from checkpoints/cgse_phase2_cifar_full.pt (KD training).
Epoch 000 | train_loss 2.5626 | train_acc 0.5311 | val_loss 1.1267 | val_acc 0.6479 | kd T=4.0 α=0.5
Epoch 001 | train_loss 1.4609 | train_acc 0.6723 | val_loss 0.9485 | val_acc 0.7053 | kd T=4.0 α=0.5
Epoch 002 | train_loss 1.1384 | train_acc 0.7204 | val_loss 0.8687 | val_acc 0.7290 | kd T=4.0 α=0.5
Epoch 003 | train_loss 0.9917 | train_acc 0.7433 | val_loss 0.7750 | val_acc 0.7534 | kd T=4.0 α=0.5
Epoch 004 | train_loss 0.9032 | train_acc 0.7623 | val_loss 0.6814 | val_acc 0.7786 | kd T=4.0 α=0.5
Epoch 005 | train_loss 0.8462 | train_acc 0.7739 | val_loss 0.6975 | val_acc 0.7709 | kd T=4.0 α=0.5
Epoch 006 | train_loss 0.7870 | train_acc 0.7832 | val_loss 0.6056 | val_acc 0.8024 | kd T=4.0 α=0.5
Epoch 007 | train_loss 0.7406 | train_acc 0.7926 | val_loss 0.6083 | val_acc 0.7986 | kd T=4.0 α=0.5
Epoch 008 | train_loss 0.7084 | train_acc 0.8003 | val_loss 0.7022 | val_acc 0.7725 | kd T=4.0 α=0.5
Epoch 009 | train_loss 0.6898 | train_acc 0.8047 | val_loss 0.6011 | val_acc 0.8033 | kd T=4.0 α=0.5
Epoch 010 | train_loss 0.6636 | train_acc 0.8107 | val_loss 0.5883 | val_acc 0.8073 | kd T=4.0 α=0.5
Epoch 011 | train_loss 0.6419 | train_acc 0.8149 | val_loss 0.5717 | val_acc 0.8088 | kd T=4.0 α=0.5
Epoch 012 | train_loss 0.6321 | train_acc 0.8159 | val_loss 0.5790 | val_acc 0.8111 | kd T=4.0 α=0.5
Epoch 013 | train_loss 0.6171 | train_acc 0.8214 | val_loss 0.5295 | val_acc 0.8178 | kd T=4.0 α=0.5
Epoch 014 | train_loss 0.6002 | train_acc 0.8233 | val_loss 0.6152 | val_acc 0.7975 | kd T=4.0 α=0.5
Epoch 015 | train_loss 0.5891 | train_acc 0.8254 | val_loss 0.5509 | val_acc 0.8183 | kd T=4.0 α=0.5
Epoch 016 | train_loss 0.5817 | train_acc 0.8264 | val_loss 0.5565 | val_acc 0.8177 | kd T=4.0 α=0.5
Epoch 017 | train_loss 0.5700 | train_acc 0.8295 | val_loss 0.5431 | val_acc 0.8180 | kd T=4.0 α=0.5
Epoch 018 | train_loss 0.5617 | train_acc 0.8329 | val_loss 0.6431 | val_acc 0.7915 | kd T=4.0 α=0.5
Epoch 019 | train_loss 0.5549 | train_acc 0.8338 | val_loss 0.4994 | val_acc 0.8315 | kd T=4.0 α=0.5
Epoch 020 | train_loss 0.5479 | train_acc 0.8352 | val_loss 0.5218 | val_acc 0.8284 | kd T=4.0 α=0.5
Epoch 021 | train_loss 0.5412 | train_acc 0.8371 | val_loss 0.5314 | val_acc 0.8230 | kd T=4.0 α=0.5
Epoch 022 | train_loss 0.5329 | train_acc 0.8386 | val_loss 0.5454 | val_acc 0.8187 | kd T=4.0 α=0.5
Epoch 023 | train_loss 0.5277 | train_acc 0.8407 | val_loss 0.5124 | val_acc 0.8310 | kd T=4.0 α=0.5
Epoch 024 | train_loss 0.5223 | train_acc 0.8403 | val_loss 0.4972 | val_acc 0.8333 | kd T=4.0 α=0.5
Epoch 025 | train_loss 0.5166 | train_acc 0.8442 | val_loss 0.4976 | val_acc 0.8338 | kd T=4.0 α=0.5
Epoch 026 | train_loss 0.5125 | train_acc 0.8440 | val_loss 0.4659 | val_acc 0.8427 | kd T=4.0 α=0.5
Epoch 027 | train_loss 0.5059 | train_acc 0.8467 | val_loss 0.5275 | val_acc 0.8291 | kd T=4.0 α=0.5
Epoch 028 | train_loss 0.5086 | train_acc 0.8449 | val_loss 0.5578 | val_acc 0.8138 | kd T=4.0 α=0.5
Epoch 029 | train_loss 0.5017 | train_acc 0.8453 | val_loss 0.5230 | val_acc 0.8292 | kd T=4.0 α=0.5
Epoch 030 | train_loss 0.4970 | train_acc 0.8466 | val_loss 0.5294 | val_acc 0.8263 | kd T=4.0 α=0.5
Epoch 031 | train_loss 0.4919 | train_acc 0.8483 | val_loss 0.5010 | val_acc 0.8357 | kd T=4.0 α=0.5
Epoch 032 | train_loss 0.4818 | train_acc 0.8504 | val_loss 0.4895 | val_acc 0.8367 | kd T=4.0 α=0.5
Epoch 033 | train_loss 0.4851 | train_acc 0.8484 | val_loss 0.4783 | val_acc 0.8393 | kd T=4.0 α=0.5
Epoch 034 | train_loss 0.4776 | train_acc 0.8513 | val_loss 0.5105 | val_acc 0.8296 | kd T=4.0 α=0.5
Epoch 035 | train_loss 0.4757 | train_acc 0.8501 | val_loss 0.4727 | val_acc 0.8422 | kd T=4.0 α=0.5
Epoch 036 | train_loss 0.4715 | train_acc 0.8540 | val_loss 0.5251 | val_acc 0.8248 | kd T=4.0 α=0.5
Epoch 037 | train_loss 0.4668 | train_acc 0.8534 | val_loss 0.4652 | val_acc 0.8446 | kd T=4.0 α=0.5
Epoch 038 | train_loss 0.4639 | train_acc 0.8523 | val_loss 0.4801 | val_acc 0.8385 | kd T=4.0 α=0.5
Epoch 039 | train_loss 0.4680 | train_acc 0.8541 | val_loss 0.4735 | val_acc 0.8405 | kd T=4.0 α=0.5
Epoch 040 | train_loss 0.4600 | train_acc 0.8546 | val_loss 0.4638 | val_acc 0.8432 | kd T=4.0 α=0.5
Epoch 041 | train_loss 0.4563 | train_acc 0.8545 | val_loss 0.4752 | val_acc 0.8440 | kd T=4.0 α=0.5
Epoch 042 | train_loss 0.4535 | train_acc 0.8562 | val_loss 0.4763 | val_acc 0.8392 | kd T=4.0 α=0.5
Epoch 043 | train_loss 0.4522 | train_acc 0.8558 | val_loss 0.4720 | val_acc 0.8429 | kd T=4.0 α=0.5
Epoch 044 | train_loss 0.4462 | train_acc 0.8576 | val_loss 0.4531 | val_acc 0.8511 | kd T=4.0 α=0.5
Epoch 045 | train_loss 0.4452 | train_acc 0.8560 | val_loss 0.5203 | val_acc 0.8256 | kd T=4.0 α=0.5
Epoch 046 | train_loss 0.4436 | train_acc 0.8565 | val_loss 0.4906 | val_acc 0.8364 | kd T=4.0 α=0.5
Epoch 047 | train_loss 0.4448 | train_acc 0.8580 | val_loss 0.4781 | val_acc 0.8416 | kd T=4.0 α=0.5
Epoch 048 | train_loss 0.4391 | train_acc 0.8574 | val_loss 0.4865 | val_acc 0.8361 | kd T=4.0 α=0.5
Epoch 049 | train_loss 0.4389 | train_acc 0.8590 | val_loss 0.4809 | val_acc 0.8378 | kd T=4.0 α=0.5
Saved checkpoint to checkpoints/cgse_phase3_cifar_kd_seed41.pt
