utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,0,1.455531,0.467200,1.141070,0.596400,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,1,1.061062,0.621020,0.964698,0.663400,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,2,0.916140,0.676700,0.810026,0.714600,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,3,0.838223,0.701920,0.843374,0.702600,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,4,0.781147,0.725340,0.743336,0.741400,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,5,0.736010,0.740500,0.754583,0.731400,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,6,0.703187,0.751520,0.676459,0.767200,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,7,0.682940,0.761440,0.716066,0.753600,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,8,0.655088,0.770560,0.634373,0.778900,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,9,0.626542,0.781940,0.612362,0.785000,620810,False,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,10,0.633814,0.778260,0.616966,0.787400,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,11,0.598806,0.791200,0.645556,0.780000,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,12,0.583943,0.795500,0.753774,0.743200,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,13,0.567670,0.802380,0.602734,0.792900,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,14,0.553900,0.806520,0.612844,0.793700,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,15,0.541761,0.810880,0.550946,0.810400,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,16,0.541401,0.811300,0.625911,0.786300,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,17,0.528123,0.814180,0.521096,0.821700,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,18,0.514998,0.819600,0.547455,0.815200,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,19,0.511335,0.821560,0.577471,0.804000,770410,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,20,0.506197,0.823520,0.542591,0.815000,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,21,0.493705,0.827460,0.588823,0.802700,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,22,0.493916,0.829840,0.512083,0.825600,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,23,0.484807,0.830060,0.530525,0.820300,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,24,0.478618,0.834240,0.519019,0.822900,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,25,0.472943,0.834500,0.597256,0.798000,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,26,0.467354,0.836580,0.481604,0.837400,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,27,0.462491,0.838080,0.520656,0.821200,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,28,0.457612,0.841380,0.486506,0.833300,852682,True,
20260404T193354Z,cgse_evolution_tier1b_schedule_seed43,29,0.453641,0.841160,0.537043,0.817200,852682,True,
