utc_ts,epoch,train_loss,train_acc,val_loss,val_acc,mutation_applied_yet
20260401T181648Z,0,2.858770,0.136719,2.269044,0.164062,True
20260401T181648Z,1,2.204885,0.226562,2.171018,0.156250,True
20260401T182217Z,cgse_phase2_smoke_mutate,0,2.858770,0.136719,2.269044,0.164062,653754,True
20260401T182217Z,cgse_phase2_smoke_mutate,1,2.204885,0.226562,2.171018,0.156250,653754,True
