utc_ts,epoch,train_loss,train_acc,val_loss,val_acc,mutation_applied_yet
20260401T181635Z,0,2.631596,0.162109,2.271509,0.156250,False
20260401T181635Z,1,2.202483,0.240234,2.135351,0.218750,False
